,Region,Sex,Year,MortalityRate,MortalityRate_Total,MortalityRate_Percentage
74,Americas,Male,2008,19.19076923076923,1111.436153846154,1.7246153846153847
75,Americas,Male,2009,18.72230769230769,1111.436153846154,1.6820512820512818
76,Americas,Male,2010,18.720000000000002,1111.436153846154,1.6515384615384614
77,Americas,Male,2011,17.843846153846155,1111.436153846154,1.5994871794871794
78,Americas,Male,2012,17.433846153846154,1111.436153846154,1.5615384615384615
79,Americas,Male,2013,17.041282051282053,1111.436153846154,1.524102564102564
80,Americas,Male,2014,16.666666666666668,1111.436153846154,1.4905128205128206
81,Americas,Male,2015,16.324102564102564,1111.436153846154,1.4576923076923076
82,Americas,Male,2016,16.116153846153846,1111.436153846154,1.4371794871794872
83,Americas,Male,2017,15.73025641025641,1111.436153846154,1.4033333333333333
84,Americas,Male,2018,15.375897435897436,1111.436153846154,1.3699999999999999
85,Americas,Male,2019,15.101538461538462,1111.436153846154,1.346923076923077
86,Americas,Male,2020,14.625384615384615,1111.436153846154,1.2997435897435896
87,Americas,Male,2021,14.244358974358974,1111.436153846154,1.2638461538461538
88,Eastern Mediterranean,Female,2000,35.62954545454546,1916.4731818181817,1.935
89,Eastern Mediterranean,Female,2001,34.56909090909091,1916.4731818181817,1.864090909090909
90,Eastern Mediterranean,Female,2002,33.54545454545455,1916.4731818181817,1.7968181818181819
91,Eastern Mediterranean,Female,2003,32.55954545454545,1916.4731818181817,1.7331818181818184
92,Eastern Mediterranean,Female,2004,31.597727272727273,1916.4731818181817,1.6718181818181819
93,Eastern Mediterranean,Female,2005,30.667272727272724,1916.4731818181817,1.6109090909090908
94,Eastern Mediterranean,Female,2006,29.747727272727275,1916.4731818181817,1.5545454545454547
95,Eastern Mediterranean,Female,2007,28.83,1916.4731818181817,1.5
96,Eastern Mediterranean,Female,2008,27.911363636363635,1916.4731818181817,1.4463636363636363
97,Eastern Mediterranean,Female,2009,27.03909090909091,1916.4731818181817,1.3972727272727272
98,Eastern Mediterranean,Female,2010,26.23409090909091,1916.4731818181817,1.3513636363636363
99,Eastern Mediterranean,Female,2011,25.566363636363636,1916.4731818181817,1.315909090909091
100,Eastern Mediterranean,Female,2012,25.086363636363636,1916.4731818181817,1.2936363636363637
101,Eastern Mediterranean,Female,2013,24.54181818181818,1916.4731818181817,1.27
102,Eastern Mediterranean,Female,2014,23.956363636363633,1916.4731818181817,1.24
103,Eastern Mediterranean,Female,2015,23.23,1916.4731818181817,1.1968181818181818
104,Eastern Mediterranean,Female,2016,22.589545454545455,1916.4731818181817,1.1654545454545455
105,Eastern Mediterranean,Female,2017,21.734545454545454,1916.4731818181817,1.1127272727272728
106,Eastern Mediterranean,Female,2018,21.20909090909091,1916.4731818181817,1.085909090909091
107,Eastern Mediterranean,Female,2019,20.645,1916.4731818181817,1.0568181818181819
108,Eastern Mediterranean,Female,2020,20.082272727272727,1916.4731818181817,1.0286363636363636
109,Eastern Mediterranean,Female,2021,19.597272727272728,1916.4731818181817,1.0018181818181817
110,Eastern Mediterranean,Male,2000,41.51181818181818,1916.4731818181817,2.255909090909091
111,Eastern Mediterranean,Male,2001,40.29863636363637,1916.4731818181817,2.1754545454545453
112,Eastern Mediterranean,Male,2002,39.12909090909091,1916.4731818181817,2.0977272727272727
113,Eastern Mediterranean,Male,2003,38.00636363636364,1916.4731818181817,2.0254545454545454
